epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.95237,0.88377,3.48805,1.41462,0.72547,0.73799,0.80709,0.645,0.62427,6.42114,1.25926,0.0001111,0.0001111,0.0001111
2,13.5607,0.73405,1.88104,1.2892,0.67386,0.5846,0.627,0.43041,1.0212,4.89453,1.7686,0.000231,0.000231,0.000231
3,19.0942,0.81794,1.51676,1.3226,0.67959,0.42685,0.49901,0.27527,1.47821,3.64743,2.24049,0.000348481,0.000348481,0.000348481
4,24.343,0.8512,1.39992,1.34724,0.35862,0.37811,0.30668,0.1221,1.9608,6.49281,3.22179,0.000463541,0.000463541,0.000463541
5,29.5344,0.95317,1.41482,1.40586,0.21318,0.38645,0.12697,0.05471,2.07687,inf,4.47111,0.000576182,0.000576182,0.000576182
6,34.9555,1.01471,1.54144,1.4792,0.03743,0.1006,0.03271,0.00842,2.51348,inf,6.72586,0.000686404,0.000686404,0.000686404
7,40.3594,1.06145,1.56372,1.50294,0.06441,0.3209,0.05011,0.01519,2.57268,inf,5.90658,0.000794205,0.000794205,0.000794205
8,46.918,1.15865,1.63162,1.56524,0.02436,0.05297,0.0124,0.00368,3.1602,inf,8.05338,0.000899587,0.000899587,0.000899587
9,52.3246,1.11644,1.60042,1.54594,0.00223,0.10547,0.00162,0.00035,4.09223,inf,10.0368,0.00100255,0.00100255,0.00100255
10,57.7072,1.18895,1.68652,1.58744,0.60059,0.00784,0.00029,7e-05,4.58644,70.4325,10.1924,0.00101201,0.00101201,0.00101201
11,63.037,1.12772,1.60485,1.51893,0.00064,0.01626,0.00025,7e-05,4.28475,inf,10.0065,0.00100101,0.00100101,0.00100101
12,68.5046,1.14339,1.53136,1.53934,0.23589,0.05359,0.01217,0.00461,3.49143,39.6228,5.83679,0.000990012,0.000990012,0.000990012
13,73.8155,1.07484,1.44198,1.49175,0.111,0.26654,0.05487,0.02355,2.37032,12.7081,4.9853,0.000979013,0.000979013,0.000979013
14,79.2465,1.03194,1.39727,1.45298,0.37277,0.29112,0.19407,0.0833,1.89698,7.59374,3.2269,0.000968014,0.000968014,0.000968014
15,84.5093,1.03076,1.40021,1.4565,0.11641,0.19639,0.05887,0.02768,2.44319,10.315,3.48604,0.000957015,0.000957015,0.000957015
16,89.7414,1.02697,1.32308,1.45999,0.36199,0.26356,0.21313,0.09736,2.28169,5.91735,3.4895,0.000946016,0.000946016,0.000946016
17,95.0098,0.98094,1.29923,1.43093,0.19393,0.24343,0.11684,0.04844,2.43504,8.57613,3.56366,0.000935018,0.000935018,0.000935018
18,100.258,0.93154,1.17714,1.39192,0.26101,0.41571,0.25162,0.10944,2.08693,4.25072,3.22893,0.000924019,0.000924019,0.000924019
19,105.607,0.90964,1.17114,1.35481,0.28558,0.46005,0.27972,0.12575,1.85345,3.21412,2.53699,0.00091302,0.00091302,0.00091302
20,110.923,0.89446,1.08734,1.33613,0.44458,0.42642,0.36008,0.1898,1.63435,2.80733,2.54892,0.000902021,0.000902021,0.000902021
21,116.188,0.92066,1.12556,1.36655,0.52686,0.46378,0.44901,0.26796,1.37513,2.84327,2.12461,0.000891022,0.000891022,0.000891022
22,121.766,0.90618,1.13229,1.3622,0.62671,0.65844,0.64722,0.37447,1.3188,1.81581,2.08341,0.000880023,0.000880023,0.000880023
23,127.165,0.87046,1.03407,1.32886,0.6676,0.54137,0.564,0.3607,1.2775,2.12707,2.10042,0.000869024,0.000869024,0.000869024
24,132.397,0.83782,1.00898,1.3075,0.52919,0.55927,0.52693,0.30955,1.46585,2.07046,2.1421,0.000858025,0.000858025,0.000858025
25,137.626,0.84048,0.99623,1.31091,0.64814,0.56857,0.54786,0.29012,1.60475,2.09148,2.8558,0.000847026,0.000847026,0.000847026
26,142.856,0.89335,0.99976,1.35631,0.59535,0.41109,0.37637,0.23525,1.38736,3.13189,2.23654,0.000836027,0.000836027,0.000836027
27,148.183,0.79931,0.93929,1.28023,0.55506,0.36076,0.32019,0.18511,1.35328,3.77243,2.21171,0.000825029,0.000825029,0.000825029
28,153.511,0.79913,0.943,1.28612,0.345,0.37714,0.26267,0.13956,1.58119,3.30243,2.28972,0.00081403,0.00081403,0.00081403
29,158.841,0.80071,0.90277,1.28784,0.47194,0.43456,0.37649,0.21686,1.47755,3.06355,2.27162,0.000803031,0.000803031,0.000803031
30,164.116,0.80765,0.93419,1.30106,0.6964,0.60258,0.65243,0.40851,1.18077,1.59573,1.85362,0.000792032,0.000792032,0.000792032
31,169.348,0.77316,0.92284,1.25453,0.71661,0.61373,0.6943,0.46306,1.07055,1.45908,1.77209,0.000781033,0.000781033,0.000781033
32,174.534,0.74059,0.85464,1.23816,0.61774,0.60196,0.56946,0.39458,1.1158,1.92806,1.78202,0.000770034,0.000770034,0.000770034
33,179.786,0.72376,0.8174,1.24085,0.56971,0.57646,0.5663,0.3531,1.3132,2.06802,2.16487,0.000759035,0.000759035,0.000759035
34,184.997,0.71992,0.79841,1.22115,0.66267,0.52575,0.55198,0.34605,1.33813,1.93406,2.21594,0.000748036,0.000748036,0.000748036
35,190.223,0.74894,0.81649,1.24094,0.68333,0.60815,0.60828,0.38665,1.22412,1.63356,2.00554,0.000737037,0.000737037,0.000737037
36,195.816,0.72069,0.74827,1.20677,0.67152,0.67497,0.68216,0.46093,1.15966,1.54107,1.87803,0.000726038,0.000726038,0.000726038
37,201.068,0.70049,0.72269,1.2143,0.70665,0.66437,0.69057,0.46572,1.18664,1.37385,1.91415,0.00071504,0.00071504,0.00071504
38,206.196,0.70793,0.79553,1.21123,0.68563,0.61336,0.64928,0.41738,1.17259,1.51166,1.97796,0.000704041,0.000704041,0.000704041
39,211.378,0.71109,0.78729,1.2264,0.6776,0.65297,0.69246,0.46749,1.0726,1.45939,1.82355,0.000693042,0.000693042,0.000693042
40,216.563,0.68034,0.75855,1.18911,0.69752,0.5826,0.68071,0.45798,1.14096,1.35887,1.82939,0.000682043,0.000682043,0.000682043
41,221.887,0.67181,0.73168,1.17886,0.65744,0.66359,0.66781,0.46117,1.05426,1.48391,1.73607,0.000671044,0.000671044,0.000671044
