epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4651,3.04447,4.38878,4.2247,0.0026,0.60077,0.00265,0.00113,2.55494,3.83439,4.15829,0.000101,0.000101,0.000101
2,23.2133,3.1034,4.20187,4.17,0.00258,0.61866,0.00447,0.0021,2.5524,3.8199,4.14627,0.000210687,0.000210687,0.000210687
3,35.6703,3.06152,4.0944,4.06563,0.00256,0.62337,0.00985,0.00376,2.55145,3.73554,4.06942,0.000318895,0.000318895,0.000318895
4,47.6568,2.84994,3.9247,3.81828,0.40417,0.41977,0.0733,0.01803,2.64631,19.0042,3.75256,0.000425623,0.000425623,0.000425623
5,60.4437,2.68376,3.82243,3.5177,0.20504,0.6047,0.03932,0.00856,2.65397,inf,4.45967,0.000530871,0.000530871,0.000530871
6,72.149,2.51738,3.58652,3.21992,0.4054,0.3046,0.02506,0.00543,2.57085,inf,4.30014,0.000634639,0.000634639,0.000634639
7,83.3469,2.35777,3.4811,3.03362,0.00428,0.07234,0.00353,0.00103,2.88574,6.46356,4.4457,0.000736927,0.000736927,0.000736927
8,94.7641,2.18541,3.31923,2.8631,0.02061,0.14012,0.01192,0.00329,2.59385,6.30297,3.71869,0.000837735,0.000837735,0.000837735
9,105.876,2.07259,3.20263,2.74944,0.03224,0.29546,0.02356,0.00619,2.55051,9.39526,4.03266,0.000937063,0.000937063,0.000937063
10,117.224,1.98405,3.07285,2.64728,0.03366,0.1495,0.01955,0.00556,2.49089,36.1491,4.52592,0.00103491,0.00103491,0.00103491
11,128.325,1.86402,2.96613,2.53913,0.0513,0.12791,0.02802,0.00809,2.52666,18.7343,4.32752,0.00103701,0.00103701,0.00103701
12,140.055,1.81926,2.8763,2.46809,0.03306,0.30326,0.02562,0.00841,2.20138,31.9033,3.74955,0.00102961,0.00102961,0.00102961
13,151.098,1.77761,2.82861,2.42529,0.06519,0.21981,0.05427,0.01567,2.3805,4.22568,3.69058,0.00102221,0.00102221,0.00102221
14,162.213,1.70897,2.76029,2.34294,0.07873,0.22021,0.07477,0.02894,2.02043,4.2567,3.05288,0.00101481,0.00101481,0.00101481
15,174.418,1.69346,2.70411,2.30746,0.09835,0.34848,0.10457,0.04235,2.01922,4.17085,3.19278,0.00100741,0.00100741,0.00100741
16,186.604,1.64,2.59372,2.24969,0.14921,0.36221,0.1201,0.04987,1.89331,3.70715,2.96587,0.00100001,0.00100001,0.00100001
17,198.782,1.62771,2.59607,2.23409,0.15284,0.52932,0.16088,0.07958,1.77242,2.69568,2.64857,0.000992612,0.000992612,0.000992612
18,210.661,1.59911,2.5552,2.18108,0.1716,0.55573,0.16149,0.07513,1.6592,3.3892,2.75625,0.000985213,0.000985213,0.000985213
19,221.951,1.54827,2.54235,2.15003,0.12354,0.50341,0.12031,0.05608,1.55802,5.29499,2.71249,0.000977813,0.000977813,0.000977813
20,233.166,1.5249,2.46795,2.1453,0.12438,0.4545,0.10815,0.04822,1.89927,3.26796,2.79521,0.000970414,0.000970414,0.000970414
21,244.227,1.49423,2.46152,2.09537,0.20714,0.54032,0.18736,0.09708,1.58098,2.76528,2.49123,0.000963015,0.000963015,0.000963015
22,256.425,1.47102,2.39106,2.05976,0.17872,0.58763,0.18433,0.09643,1.50538,2.60982,2.4407,0.000955616,0.000955616,0.000955616
23,267.636,1.46702,2.37965,2.06479,0.17652,0.48001,0.17418,0.08985,1.59157,2.52771,2.41478,0.000948216,0.000948216,0.000948216
24,278.961,1.4439,2.3723,2.03705,0.17209,0.59155,0.19758,0.09522,1.55209,2.81739,2.41971,0.000940817,0.000940817,0.000940817
25,290.103,1.4052,2.37133,1.99513,0.18818,0.49058,0.17149,0.09457,1.48228,2.57761,2.29202,0.000933418,0.000933418,0.000933418
26,301.116,1.39111,2.33813,1.98491,0.18164,0.52736,0.18832,0.10559,1.3831,2.50053,2.2296,0.000926018,0.000926018,0.000926018
27,313.456,1.40116,2.29238,1.98151,0.19663,0.41442,0.20408,0.10485,1.61726,2.62378,2.42566,0.000918619,0.000918619,0.000918619
28,324.435,1.3643,2.28772,1.97164,0.20195,0.55361,0.25131,0.1348,1.51492,2.40417,2.31244,0.00091122,0.00091122,0.00091122
29,336.534,1.35181,2.28482,1.96427,0.18498,0.49433,0.23808,0.12301,1.47078,2.35913,2.35749,0.000903821,0.000903821,0.000903821
30,347.936,1.34787,2.24627,1.94656,0.24804,0.54765,0.29955,0.17401,1.45036,2.124,2.20991,0.000896421,0.000896421,0.000896421
31,360.007,1.36155,2.22974,1.97264,0.22924,0.51462,0.26608,0.1495,1.42601,2.3401,2.20082,0.000889022,0.000889022,0.000889022
32,371.178,1.32982,2.21155,1.92786,0.26936,0.55463,0.28747,0.15383,1.51109,2.44266,2.29053,0.000881623,0.000881623,0.000881623
33,382.451,1.29439,2.19651,1.8838,0.26472,0.27752,0.20702,0.11159,1.60009,3.27118,2.56992,0.000874224,0.000874224,0.000874224
34,393.527,1.27143,2.13491,1.8683,0.22799,0.52129,0.29605,0.16758,1.36666,2.34748,2.12839,0.000866824,0.000866824,0.000866824
35,404.515,1.30553,2.10461,1.89006,0.26015,0.52387,0.32022,0.18514,1.43581,2.12745,2.11072,0.000859425,0.000859425,0.000859425
36,416.564,1.2514,2.09163,1.84874,0.2813,0.47476,0.28516,0.16909,1.42871,2.33685,2.17577,0.000852026,0.000852026,0.000852026
37,427.577,1.27361,2.07866,1.85767,0.24515,0.59274,0.30932,0.1743,1.35988,2.32195,2.10044,0.000844627,0.000844627,0.000844627
38,438.66,1.25672,2.03937,1.82871,0.25122,0.60801,0.36964,0.23292,1.28408,2.08787,2.0112,0.000837227,0.000837227,0.000837227
39,450.867,1.25244,2.02255,1.85484,0.31567,0.58313,0.38561,0.24051,1.27344,2.06284,2.01091,0.000829828,0.000829828,0.000829828
40,463.09,1.25784,2.00591,1.84001,0.23537,0.4823,0.33031,0.19957,1.46175,2.13399,2.17607,0.000822429,0.000822429,0.000822429
41,474.213,1.20553,1.93825,1.78415,0.28243,0.50606,0.39139,0.25242,1.3018,2.08863,2.01593,0.00081503,0.00081503,0.00081503
42,486.364,1.20642,1.95396,1.79699,0.34201,0.62443,0.42322,0.26705,1.28251,1.89128,2.0242,0.00080763,0.00080763,0.00080763
43,498.766,1.18672,1.96593,1.79968,0.34262,0.61985,0.41166,0.25289,1.31047,1.81283,2.04586,0.000800231,0.000800231,0.000800231
44,509.887,1.17611,1.8948,1.78499,0.31737,0.55332,0.42023,0.25325,1.36555,1.87023,2.07355,0.000792832,0.000792832,0.000792832
45,521.092,1.15463,1.85639,1.75831,0.33834,0.58497,0.43426,0.28272,1.25772,1.74856,1.9506,0.000785433,0.000785433,0.000785433
46,533.218,1.1601,1.8411,1.73945,0.326,0.60918,0.41876,0.26782,1.22876,1.81683,1.96613,0.000778033,0.000778033,0.000778033
47,544.337,1.16604,1.81317,1.74012,0.24911,0.45802,0.33143,0.19662,1.48699,2.39684,2.21907,0.000770634,0.000770634,0.000770634
48,555.347,1.13674,1.76692,1.72161,0.37514,0.59502,0.45937,0.29769,1.21769,1.68047,1.96132,0.000763235,0.000763235,0.000763235
49,567.5,1.11224,1.76777,1.70174,0.38876,0.55283,0.43576,0.28863,1.20744,1.8341,1.93977,0.000755836,0.000755836,0.000755836
50,578.528,1.13966,1.76665,1.74256,0.38379,0.38485,0.38843,0.22142,1.52192,2.07858,2.24379,0.000748436,0.000748436,0.000748436
51,589.82,1.13585,1.77918,1.72646,0.46053,0.56312,0.43981,0.28477,1.23684,2.09736,1.93079,0.000741037,0.000741037,0.000741037
